Queue,Flow,Packet_ID,Type,Arrival,Deadline,Exec,Start,Finish,Slack
6,F20,P20_7,M,1200000,1400000,4303,1213143.0,1217446.0,182554.0
6,F20,P20_8,O,1400000,1600000,4303,,,
6,F20,P20_9,M,1600000,1800000,4303,1617402.0,1621705.0,178295.0
6,F20,P20_10,M,1800000,2000000,4303,1826990.0,1831293.0,168707.0
6,F20,P20_11,O,2000000,2200000,4303,,,
6,F20,P20_12,M,2200000,2400000,4303,2231249.0,2235552.0,164448.0
6,F23,P23_1,O,0,200000,9501,,,
6,F23,P23_2,M,200000,400000,9501,201367.0,210868.0,189132.0
6,F23,P23_3,M,400000,600000,9501,401367.0,410868.0,189132.0
6,F23,P23_4,O,600000,800000,9501,,,
6,F23,P23_5,M,800000,1000000,9501,801367.0,810868.0,189132.0
6,F23,P23_6,M,1000000,1200000,9501,1001367.0,1010868.0,189132.0
6,F23,P23_7,O,1200000,1400000,9501,,,
6,F23,P23_8,M,1400000,1600000,9501,1401367.0,1410868.0,189132.0
6,F23,P23_9,M,1600000,1800000,9501,1601367.0,1610868.0,189132.0
6,F23,P23_10,O,1800000,2000000,9501,,,
6,F23,P23_11,M,2000000,2200000,9501,2001367.0,2010868.0,189132.0
6,F23,P23_12,M,2200000,2400000,9501,2201367.0,2210868.0,189132.0
6,F34,P34_1,M,0,400000,10658,17446.0,28104.0,371896.0
6,F34,P34_2,O,400000,800000,10658,,,
6,F34,P34_3,M,800000,1200000,10658,817477.0,828135.0,371865.0
6,F34,P34_4,O,1200000,1600000,10658,,,
6,F34,P34_5,M,1600000,2000000,10658,1621705.0,1632363.0,367637.0
6,F34,P34_6,O,2000000,2400000,10658,,,
6,F35,P35_1,M,0,400000,7205,28104.0,35309.0,364691.0
6,F35,P35_2,O,400000,800000,7205,,,
6,F35,P35_3,M,800000,1200000,7205,828135.0,835340.0,364660.0
6,F35,P35_4,O,1200000,1600000,7205,,,
