Packet_ID,Flow,Queue,Arrival,Deadline,Execution_Time,Scheduled,Gate_Open,Gate_Close,Response_Time
P13_2,F13,4,400000,800000,10865,True,464790.0,475655.0,75655.0
P19_2,F19,5,400000,800000,10313,True,475751.0,486064.0,86064.0
P30_2,F30,6,400000,800000,8292,True,486160.0,494452.0,94452.0
P8_2,F8,3,400000,800000,6695,True,494548.0,501243.0,101243.0
P2_2,F2,3,400000,800000,5105,True,501339.0,506444.0,106444.0
P17_2,F17,3,400000,800000,2551,True,506540.0,509091.0,109091.0
P24_6,F24,3,500000,600000,6511,True,509187.0,515698.0,15698.0
P5_2,F5,2,400000,800000,3424,True,515794.0,519218.0,119218.0
P12_2,F12,1,400000,800000,3035,True,519314.0,522349.0,122349.0
P31_2,F31,2,400000,800000,2955,True,522445.0,525400.0,125400.0
P6_2,F6,4,400000,800000,1930,True,525496.0,527426.0,127426.0
P10_2,F10,6,400000,800000,1660,True,527522.0,529182.0,129182.0
P16_2,F16,6,400000,800000,1515,True,529278.0,530793.0,130793.0
P20_2,F20,4,400000,800000,1436,True,530889.0,532325.0,132325.0
P3_3,F3,8,400000,600000,10066,True,532421.0,542487.0,142487.0
P23_3,F23,8,400000,600000,3332,True,542583.0,545915.0,145915.0
P7_3,F7,8,400000,600000,1687,True,546011.0,547698.0,147698.0
P1_3,F1,8,400000,600000,1096,True,547794.0,548890.0,148890.0
P32_2,F32,8,400000,800000,11382,True,548986.0,560368.0,160368.0
P26_2,F26,8,400000,800000,8033,True,560464.0,568497.0,168497.0
P22_2,F22,8,400000,800000,5193,True,568593.0,573786.0,173786.0
P27_2,F27,8,400000,800000,4697,True,573882.0,578579.0,178579.0
P28_6,F28,8,500000,600000,8217,True,578675.0,586892.0,86892.0
P28_7,F28,3,600000,700000,8217,True,600000.0,608217.0,8217.0
P24_7,F24,3,600000,700000,6511,True,608313.0,614824.0,14824.0
P21_4,F21,7,600000,800000,10581,True,614920.0,625501.0,25501.0
P3_4,F3,6,600000,800000,10066,True,625597.0,635663.0,35663.0
